player_depth_chart_position,player_id,player_name,player_position,player_team
,2207,Ronald Powell,OLB,
,4204,Blair Brown,OLB,
NT,5042,Deadrin Senat,DT,TB
,6034,Donnie Lewis,CB,DEN
,5065,Brandon Parker,T,LV
,2299,Kevin Fogg,CB,
,1844,Tyler Ott,LS,SEA
,3365,Jimmy Landes,LS,
,137,Curtis Lofton,LB,
,1498,David Amerson,CB,
,4425,Jason King,G,
,6152,Khari Willis,DB,
,3836,James Cowser,OLB,
,3804,Darrin Peterson,WR,
,7100,Derrick Dillon,WR,
ROLB,5158,Dennis Gardeck,LB,ARI
,3350,Cory James,OLB,
,4262,Derrick Jones,CB,
,6113,Garrett Brumfield,G,
,1350,Jonathan Meeks,SS,
,6654,JoJo Tillery,FS,
,7514,Michael Pinckney,LB,
,8128,Player Invalid,TE,
,3946,Jake Ceresna,DE,
,5425,John Diarse,WR,
,2142,Rajion Neal,RB,
,5785,James Butler,RB,
,1615,Colin Kelly,OT,
,7915,Landen Akers,WR,
,6584,Deyon Sizer,DT,
,8532,Mike Brown,DB,CLE
,2792,Tim Scott,FS,
,3653,Brandon Williams,TE,
,3055,Robert Myers,G,
LT,2339,Donovan Smith,T,TB
,3173,Roger Goodell,,
,3102,BJ Lowery,CB,
,7559,Ihmir Smith-Marsette,WR,KC
,7432,Chris Miller,DB,
,3949,Alex Ross,,
,8861,Irvin Charles,WR,NYJ
,5364,Joshua Frazier,NT,
,3570,Brandon Ross,RB,
,7063,Shea Patterson,QB,
,8068,C.J. Saunders,WR,CAR
,3740,Tre Jones,CB,
,4890,Ben Turk,P,
,784,Marcus Sherels,CB,
,6657,Freedom Akinmoladun,DE,NYJ
,196,Leodis McKelvin,CB,
,5183,Ola Adeniyi,LB,TEN
,7324,Jessie Lemonier,LB,
,4764,Marty Hurney,,
,92,Andre Johnson,WR,
LDE,3787,Lars Koht,DE,
,1200,Austin Davis,QB,
,3461,Russell Hansbrough,RB,
,5800,Justin Stockton,RB,
,8060,Cam Murray,OL,
WLB,8263,Darien Butler,LB,LV
,1597,Ty Powell,OLB,
,2178,Dezmen Southward,CB,
,1967,Seth Lobato,QB,
,7868,Mason Stokke,FB,CAR
,143,John Carlson,TE,
,5596,Malik Reaves,CB,
,6203,Valentine Holmes,RB,
,7992,Matt Bushman,TE,
NT,4371,Josh Tupou,DT,CIN
,2498,Derron Smith,SS,
,4659,Nelson Adams,DE,
,2011,Juwan Thompson,RB,
,2084,Devon Kennard,LB,BAL
FB,8025,Adam Prentice,FB,NO
WLB,8363,Jack Sanborn,LB,CHI
,4502,Cameron Lee,G,
,4665,Eli Jenkins,QB,
,4504,John Robinson-Woodgett,RB,
,380,Rashad Jennings,RB,
QB,1166,Kirk Cousins,QB,MIN
,8043,Jordyn Peters,DB,
MLB,6651,Anthony Pittman,LB,DET
,3475,Keyarris Garrett,WR,
,1792,Kadron Boone,WR,
,7105,Ramiz Ahmed,K,GB
,8776,Kingsley Jonathan,DT,BUF
,1095,Coty Sensabaugh,CB,
,4439,Breon Borders,CB,
,8064,Max Roberts,LB,
,2294,Horace Miller,ILB,
LT,6905,Matt Peart,T,NYG
QB,8159,Desmond Ridder,QB,ATL
,2088,Andre Williams,RB,
,1181,Luke Kuechly,LB,
,795,Marcell Dareus,DE,
,5648,Tyler Howell,OT,
,37,Charles Johnson,DE,
,8196,Ty Fryfogle,WR,
,2691,Chuka Ndulue,DT,
,4343,Kenny Allen,P,
,6153,Dexter Williams,RB,
,1121,Omar Bolden,FS,
,7490,Bryan London,LB,
,1218,Jamell Fleming,CB,
,1137,Juron Criner,WR,
,7126,Justin Herron,OL,LV
,5394,Terrell Williams,FS,
,2762,Diaheem Watkins,ILB,
,1578,Alex Okafor,DE,
,8701,Amari Carter,DB,
,3984,Taylor Symmank,P,
,5251,Tyler Davis,K,
,3716,Kentrell Brice,FS,
,7622,Sammis Reyes,TE,CHI
,4048,Jordan Mudge,C,
,3470,Paul McRoberts,WR,
,262,Evan Mathis,G,
,6779,Jordan Harris,WR,
